City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-22.72,77,100,7.0,RU,1707176087
1,maracaibo,10.6317,-71.6406,27.51,76,38,4.99,VE,1707176087
2,adamovka,51.5223,59.9396,0.52,98,99,10.81,RU,1707176087
3,port elizabeth,-33.918,25.5701,21.17,95,100,5.14,ZA,1707176087
4,puerto lempira,15.2667,-83.7667,28.08,74,40,6.17,HN,1707176087
5,lihue,21.9789,-159.3672,25.58,64,75,8.75,US,1707176087
6,marondera,-18.1853,31.5519,16.96,69,26,1.44,ZW,1707176088
7,gopalpur,19.2667,84.9167,22.03,88,0,5.24,IN,1707176088
8,grytviken,-54.2811,-36.5092,6.42,80,92,6.6,GS,1707176088
9,grand gaube,-20.0064,57.6608,24.22,81,59,0.45,MU,1707176088
10,bilibino,68.0546,166.4372,-33.65,99,100,0.87,RU,1707176088
11,la malbaie,47.6575,-70.1559,-3.53,91,97,3.02,CA,1707176088
12,utrik,11.2278,169.8474,26.42,83,29,8.81,MH,1707176057
13,zemio,5.0314,25.1361,22.97,30,28,1.4,CF,1707176088
14,waitangi,-43.9535,-176.5597,19.34,87,98,7.79,NZ,1707176089
15,kruisfontein,-34.0033,24.7314,19.94,93,0,3.23,ZA,1707176089
16,college,64.8569,-147.8028,-12.89,76,40,0.0,US,1707176037
17,hasaki,35.7333,140.8333,4.05,79,100,10.27,JP,1707176072
18,hermanus,-34.4187,19.2345,21.0,86,40,2.22,ZA,1707176089
19,port-aux-francais,-49.35,70.2167,6.11,78,98,12.71,TF,1707176033
20,meadow lakes,61.6247,-149.6011,1.77,92,100,1.54,US,1707176089
21,newport,51.5877,-2.9984,11.73,93,100,10.97,GB,1707175867
22,invercargill,-46.4,168.35,19.45,86,100,1.79,NZ,1707175903
23,vorgashor,67.5833,63.95,-24.99,98,40,2.56,RU,1707176090
24,yuzhno-kurilsk,44.0306,145.8556,-5.9,60,73,6.3,RU,1707176090
25,adamstown,-25.066,-130.1015,24.32,82,100,6.79,PN,1707176040
26,geraldton,-28.7667,114.6,23.23,27,60,12.35,AU,1707176090
27,hawaiian paradise park,19.5933,-154.9731,24.37,74,100,1.54,US,1707176090
28,burang,30.25,81.1667,-17.28,59,35,2.2,CN,1707176090
29,ushuaia,-54.8,-68.3,10.81,54,0,7.2,AR,1707175812
30,klyuchi,52.2667,79.1667,-9.28,91,68,4.28,RU,1707176091
31,al jawf,29.5,38.75,8.02,53,0,3.73,SA,1707176091
32,avarua,-21.2078,-159.775,30.03,79,20,7.2,CK,1707176091
33,ribeira grande,38.5167,-28.7,17.65,93,100,4.92,PT,1707176091
34,tougan,13.0667,-3.0667,21.72,15,96,4.65,BF,1707176091
35,tolanaro,-25.0319,46.9987,23.04,94,75,5.14,MG,1707176091
36,chimore,-16.9833,-65.1333,26.64,77,51,1.62,BO,1707176091
37,nago,26.5881,127.9761,18.47,68,21,4.98,JP,1707176091
38,longyearbyen,78.2186,15.6401,-4.09,74,75,4.63,SJ,1707176092
39,blackmans bay,-43.0167,147.3167,16.52,49,46,0.45,AU,1707176092
40,albany,42.6001,-73.9662,-0.36,50,1,2.57,US,1707176092
41,olonkinbyen,70.9221,-8.7187,-2.33,68,75,11.0,SJ,1707176084
42,kodiak,57.79,-152.4072,3.73,65,0,2.57,US,1707176092
43,sillamae,59.3997,27.7547,-3.64,89,100,5.39,EE,1707176092
44,fort bragg,35.139,-79.006,11.91,38,0,2.06,US,1707176092
45,mar del plata,-38.0023,-57.5575,21.08,83,75,10.28,AR,1707176040
46,murzuq,25.9155,13.9184,10.37,46,0,3.01,LY,1707175896
47,al ghayzah,16.2079,52.176,22.56,66,3,2.47,YE,1707176093
48,portland,45.5234,-122.6762,9.95,91,100,4.12,US,1707175670
49,itoman,26.1247,127.6694,18.43,63,75,6.69,JP,1707176093
50,edinburgh of the seven seas,-37.0676,-12.3116,15.71,63,1,1.46,SH,1707176093
51,puerto natales,-51.7236,-72.4875,10.5,71,45,0.32,CL,1707175894
52,harper,4.375,-7.7169,27.21,80,28,2.44,LR,1707176093
53,aasiaat,68.7098,-52.8699,-29.67,87,22,3.76,GL,1707176093
54,antigonish,45.6169,-61.9986,0.64,96,100,1.79,CA,1707176093
